RespondentID,StartDate,EndDate,Age,AgeGroup,Ethnic,Sex,MilitaryServiceName,MilitaryRankShortName,CountryName,CurricNumber,CurricShortName,SchoolName,Site,DegreeLevel,Q1,Q2,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q4k,Q4l,Q4m,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q11h,Q11i,Q12a,Q12b,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14a,Q14b,Q14c,Q14d,Q15a,Q15b,Q15c,Q15d,Q15e,Q16,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q19j,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q20g,Q20h,Q20i,Q20j,Q21,Q22a,Q22b,Q22c,Q23,Q24a,Q24b,Q24c,Q25,Q26,Q27a,Q27b,Q27c,Q27d,Q28a,Q28b,Q28c,Q28d,Q28e,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q32,Q33,Q34,Q35,Q36,Q37,Q38
3083655913,2/20/14 21:02,2/20/14 21:18,34,31-35,White,M,USN,LT,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,,,,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Strongly Agree,Somewhat Disagree,Somewhat Agree,Small Lecture Hall with Stadium Seating,Small Lecture Hall with Stadium Seating,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Very Little,Somewhat Well,N/A,,,The ability to project individual student laptops or other mobile device to screens throughout the classroom,,,,,,,,,,,,,,,,,Strongly Agree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,4,3,1,2,3,5,4,2,1,Seldom,N/A,,,,Email,SAKAI,,,,,,,,A physical paper copy,Email,SAKAI,,,,,,,,A physical paper copy,Yes,,,,Rarely,,,I didn't know I had a personal drive,No,,,,,,,,,,,Most of my classes are with the same students.,No,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Intermediate ( I am proficient in the technologies I own),1
3083648947,2/20/14 20:59,2/20/14 21:06,37,36-40,Asian American/Pacific Islander,M,USN,LT,United States of America,533,Combat Systems Science & Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,N/A,,,Traditional Style Classroom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The ability to record classroom lectures,,,,,,,Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),,,,,,,,,,,Peer mentoring (stronger students help teach weaker students),Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,4,3,1,2,2,3,4,5,1,Frequently,N/A,,,,,SAKAI,,,,,,,,A physical paper copy,Email,SAKAI,,,,,,,,,Yes,,,,Rarely,,,I didn't know I had a personal drive,No,,,,,Laptop Computer,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Most of my classes are with the same students.,Yes,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,"Basic ( user of email, social media and basic software)",4
3083642027,2/20/14 20:56,2/20/14 21:04,28,20-30,White,M,USAF,Capt.,United States of America,815,Acquisitions & Contract Management,Graduate School of Business and Public Policy,NPS,Master,Yes,No,Lack of rooms and spaces to collaborate,Posted schedules on classrooms not accurate,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Somewhat Agree,Neither Agree or Disagree,Strongly Agree,Small Lecture Hall with Stadium Seating,Small Lecture Hall with Stadium Seating,Innovative Customizable Classroom,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Very Well,Very Little,The ability to record classroom lectures,,The ability to project individual student laptops or other mobile device to screens throughout the classroom,The ability to video teleconference in the classroom,,,,Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),,,,,,,,,,,,Strongly Agree,Somewhat Agree,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,2,1,4,3,1,2,3,4,5,Frequently,N/A,,,,Email,SAKAI,,,,,,,,,Email,SAKAI,,,,,,Google Drive,,,Yes,,,,Rarely,It is difficult to access,Other methods such as Google Drive or Drop Box work better,,Yes,Ingersoll Hall,"Smartphone (examples include: iPhone, Android device)",,"Tablet (examples include: iPad, Windows Surface, Kindle, etc)",Laptop Computer,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,Most of my classes are with the same students.,Yes,Strongly Disagree,Strongly Agree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree or Disagree,Intermediate ( I am proficient in the technologies I own),2
3083623428,2/20/14 20:48,2/20/14 20:59,35,31-35,White,M,USN,LT,United States of America,834,Management (Financial) (Mixed-Mode),Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Strongly Agree,Somewhat Agree,Strongly Agree,Traditional Style Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Innovative Customizable Classroom,Somewhat Well,Very Well,Very Well,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Little,Not At All,Somewhat Well,Very Little,,,The ability to project individual student laptops or other mobile device to screens throughout the classroom,,,,,Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),,,,,,,,,"In-class professor-led practical exercises (programming labs, physical labs, etc.)",Previously recorded lectures prepared by professor,,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,4,2,3,1,1,2,3,4,5,Frequently,No,,Other methods such as Youtube work better,,Email,,,,,,Drop Box,,,,,SAKAI,,,,,Drop Box,,,,Yes,,,,Often,,,,No,,"Smartphone (examples include: iPhone, Android device)",,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most of my classes are with the same students.,Yes,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Disagree,Neither Agree or Disagree,Somewhat Disagree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Somewhat Agree,Intermediate ( I am proficient in the technologies I own),
3083609315,2/20/14 20:42,2/20/14 20:59,39,36-40,White,M,USAF,Maj.,United States of America,683,Western Hemisphere,School of International Graduate Studies,NPS,Master,No,Yes,,,,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Neither Agree or Disagree,Somewhat Agree,Somewhat Agree,Small Lecture Hall with Stadium Seating,Traditional Style Classroom,Innovative Customizable Classroom,Somewhat Well,Somewhat Well,N/A,Somewhat Well,N/A,Very Little,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Little,N/A,N/A,The ability to record classroom lectures,,,,,Chalkboard/Whiteboard,,,,,,,Lecture accompanied by printed notes,,,,,,,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,3,N/A,2,1,5,4,3,1,2,Frequently,N/A,,,,Email,SAKAI,,,,,,Google Drive,,,Email,SAKAI,,,,,Drop Box,Google Drive,Professor's H:drive,,Yes,,,,Sometimes,,,,No,,"Smartphone (examples include: iPhone, Android device)",,"Tablet (examples include: iPad, Windows Surface, Kindle, etc)",,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Some of my classes are with the same students.,Yes,Neither Agree or Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Expert ( I am fluent in more than one coding language),2
3083594333,2/20/14 20:36,2/20/14 20:49,40,36-40,Unknown,M,Army,LTC,Pakistan,693,Combating Terrorism: Policy and Strategy,School of International Graduate Studies,NPS,Master,Yes,No,,Posted schedules on classrooms not accurate,,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Strongly Agree,Strongly Agree,Somewhat Disagree,Innovative Customizable Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Small Lecture Hall with Stadium Seating,Very Well,Very Well,Somewhat Well,Somewhat Well,N/A,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Very Well,The ability to record classroom lectures,,,,,,,,Video Tele-Conference (VTC),,,Lecture accompanied by PowerPoint presentation,,,,,,,,Somewhat Agree,Neither Agree or Disagree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Neither Agree or Disagree,N/A,2,1,3,2,1,3,4,5,Frequently,No,It is difficult to access,,,,SAKAI,,,,,,,,,,SAKAI,,,,,,,,,Yes,,,,Never,,,I didn't know I had a personal drive,No,,,,,Laptop Computer,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Strongly Agree,Some of my classes are with the same students.,Yes,Somewhat Disagree,Somewhat Disagree,Neither Agree or Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Somewhat Disagree,I prefer not to use computers,2
3083590877,2/20/14 20:28,2/20/14 20:47,114,Unknown,Unknown,F,,,Singapore,580,Systems Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,No,Lack of rooms and spaces to collaborate,,Facilities are not adequate for collaboration,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Strongly Agree,Strongly Agree,Strongly Agree,Small Lecture Hall with Stadium Seating,Small Lecture Hall with Stadium Seating,Innovative Customizable Classroom,Very Little,Very Well,Somewhat Well,Very Well,Not At All,Not At All,Somewhat Well,Somewhat Well,Very Well,Very Well,Not At All,Very Well,Not At All,,The ability to electronically write on whiteboards,The ability to project individual student laptops or other mobile device to screens throughout the classroom,,,,Electronic Whiteboard (smart-board),,,,,,,Lecture accompanied by chalkboard/whiteboard notes,,,,,,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Strongly Agree,2,3,4,1,2,5,4,3,1,Seldom,N/A,,,,,SAKAI,,,,,,,,,Email,SAKAI,,,,,,,,,Yes,,,,Often,,,,Yes,,"Smartphone (examples include: iPhone, Android device)",,,Laptop Computer,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Most of my classes are with the same students.,Yes,Strongly Agree,Somewhat Disagree,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Somewhat Disagree,Intermediate ( I am proficient in the technologies I own),1
3083575113,2/20/14 20:27,2/20/14 20:40,34,31-35,Unknown,M,Army,MAJ,Pakistan,361,Joint Operational Logistics,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,,,Facilities are not adequate for collaboration,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Traditional Style Classroom,Traditional Style Classroom,Traditional Style Classroom,Very Well,Very Well,Very Well,Very Well,,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,The ability to record classroom lectures,,,,,,Electronic Whiteboard (smart-board),,,,,,,,,,,Previously recorded lectures prepared by professor,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,2,3,1,4,2,3,4,5,1,,No,It is difficult to access,,,Email,SAKAI,SharePoint,Turnitin,Wiki page,Professor's Web Site,Drop Box,Google Drive,Professor's H:drive,A physical paper copy,Email,SAKAI,SharePoint,Turnitin,Wiki page,Professor's Web Site,Drop Box,Google Drive,Professor's H:drive,A physical paper copy,No,It is difficult to access,,,Often,,,,No,,,,"Tablet (examples include: iPad, Windows Surface, Kindle, etc)",,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most of my classes are with the same students.,Yes,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Basic ( user of email, social media and basic software)",2
3083572608,2/20/14 20:27,2/20/14 20:41,30,20-30,White,F,USN,LT,United States of America,847,Manpower Systems Analysis,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,,,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Neither Agree or Disagree,Somewhat Agree,Neither Agree or Disagree,Large Lecture Hall,Traditional Style Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Very Little,Somewhat Well,Somewhat Well,Very Well,Very Little,Very Little,Very Little,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Not At All,,,,,,Chalkboard/Whiteboard,,Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),,,,,,Lecture accompanied by chalkboard/whiteboard notes,Professor-led group discussion,,"In-class professor-led practical exercises (programming labs, physical labs, etc.)",,,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,N/A,2,1,3,3,5,4,2,1,Seldom,N/A,,,,Email,SAKAI,,,,,,,,A physical paper copy,Email,SAKAI,,,,,,,,A physical paper copy,Yes,,,,Rarely,It is difficult to access,,,Yes,Ingersoll Hall,,,,Laptop Computer,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree or Disagree,Somewhat Disagree,Some of my classes are with the same students.,Yes,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Disagree,Intermediate ( I am proficient in the technologies I own),3
3083561528,2/20/14 20:22,2/20/14 20:29,32,31-35,White,M,USN,LT,United States of America,684,Europe and Eurasia,School of International Graduate Studies,NPS,Master,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083531949,2/20/14 20:09,2/20/14 20:27,32,31-35,Unknown,M,Army,CPT,Hungary,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,,,,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Strongly Agree,Strongly Disagree,Somewhat Disagree,Small Lecture Hall with Stadium Seating,Traditional Style Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Very Well,Very Well,Very Little,Not At All,Not At All,Very Little,Very Well,Very Little,Very Well,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,The ability to record classroom lectures,,,,PowerPoint,,,,,,,Lecture accompanied by PowerPoint presentation,Lecture accompanied by printed notes,,,,,,,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,3,4,1,2,2,4,5,1,3,Seldom,Yes,,,,Email,SAKAI,,,,,,,,,Email,SAKAI,,,,,,,,,Yes,,,,Rarely,,Other methods such as Google Drive or Drop Box work better,,No,,"Smartphone (examples include: iPhone, Android device)",,,Laptop Computer,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Most of my classes are with the same students.,Yes,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,"Basic ( user of email, social media and basic software)",3
3083514187,2/20/14 20:02,2/20/14 20:20,34,31-35,White,F,USA,CPT,United States of America,681,"Middle East, South Asia, Sub-Saharan Africa",School of International Graduate Studies,NPS,Master,Yes,Yes,,,,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,Large Lecture Hall,Traditional Style Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Very Well,Somewhat Well,N/A,Very Well,Very Little,Somewhat Well,Very Well,Very Well,Somewhat Well,Very Well,Somewhat Well,N/A,N/A,The ability to record classroom lectures,,,,,,,,,,,,,,,,,,,Neither Agree or Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Disagree,4,3,2,1,5,2,3,4,1,Frequently,N/A,,,,Email,SAKAI,,,,,Drop Box,,,A physical paper copy,,SAKAI,,,,,,,,A physical paper copy,Yes,,,,Rarely,,,,No,,,,"Tablet (examples include: iPad, Windows Surface, Kindle, etc)",,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Some of my classes are with the same students.,Yes,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Intermediate ( I am proficient in the technologies I own),2
3083497342,2/20/14 19:55,2/20/14 20:06,34,31-35,American Indian/Alaskan Native,M,USN,LT,United States of America,683,Western Hemisphere,School of International Graduate Studies,NPS,Master,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,,,,Somewhat Agree,Strongly Agree,Strongly Agree,Large Lecture Hall,Traditional Style Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,,Somewhat Well,Very Well,Very Well,Somewhat Well,Somewhat Well,N/A,Somewhat Well,,The ability to electronically write on whiteboards,The ability to project individual student laptops or other mobile device to screens throughout the classroom,The ability to video teleconference in the classroom,,,,Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),Video Tele-Conference (VTC),Printed materials,,,Lecture accompanied by printed notes,,,,,Previously recorded lectures prepared by professor,,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,4,3,2,1,3,5,2,4,1,Frequently,N/A,,,,Email,SAKAI,,,,,,,,A physical paper copy,Email,,,,,,Drop Box,,,A physical paper copy,No,It is difficult to access,Other methods such as Google Drive or Drop Box work better,Every professor has a different SAKAI layout and it's confusing,Never,It is difficult to access,Other methods such as Google Drive or Drop Box work better,,N/A (I do not use the wireless network on NPS),,,,,,,,,,,Most of my classes are with the same students.,No,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Intermediate ( I am proficient in the technologies I own),5
3083441948,2/20/14 19:31,2/20/14 21:02,61,41+,Asian American/Pacific Islander,M,,,United States of America,368,Computer Science,Graduate School of Operational and Information Sciences,NPS,Master,No,N/A,,,,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Agree,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Very Well,Very Little,Very Little,Very Well,Very Well,Not At All,Very Well,Very Well,Very Well,Very Well,Very Little,Very Well,Very Little,,,The ability to project individual student laptops or other mobile device to screens throughout the classroom,The ability to video teleconference in the classroom,PowerPoint,Chalkboard/Whiteboard,Electronic Whiteboard (smart-board),Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),Video Tele-Conference (VTC),Printed materials,Verbal lecture only,Lecture accompanied by PowerPoint presentation,Lecture accompanied by printed notes,Lecture accompanied by chalkboard/whiteboard notes,Professor-led group discussion,Student-led group discussion,"In-class professor-led practical exercises (programming labs, physical labs, etc.)",Previously recorded lectures prepared by professor,Peer mentoring (stronger students help teach weaker students),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,2,1,3,2,5,1,4,3,Every time,Yes,,,,Email,SAKAI,SharePoint,,Wiki page,Professor's Web Site,,,Professor's H:drive,A physical paper copy,Email,SAKAI,,,Wiki page,Professor's Web Site,,,,,Yes,,,,Sometimes,,,,Yes,Ingersoll Hall,,,,Laptop Computer,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,I seldom have class with the same students.,Yes,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,"Basic ( user of email, social media and basic software)",10+
3083394104,2/20/14 19:11,2/20/14 19:23,27,20-30,White,F,USN,LTJG,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,,,,,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Large Lecture Hall,Traditional Style Classroom,Traditional Style Classroom,Somewhat Well,Very Well,N/A,Very Well,Very Little,Somewhat Well,Somewhat Well,Very Well,Very Well,Not At All,Not At All,Very Little,N/A,,,,,,Chalkboard/Whiteboard,,Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),,,,,Lecture accompanied by printed notes,Lecture accompanied by chalkboard/whiteboard notes,,,,,,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree or Disagree,Strongly Agree,4,3,1,2,2,3,4,5,1,Seldom,N/A,,,,,SAKAI,,,,,,,,A physical paper copy,,SAKAI,,,,,,,,A physical paper copy,Yes,,,,Never,,,I didn't know I had a personal drive,Yes,Spanagel Hall,"Smartphone (examples include: iPhone, Android device)",,"Tablet (examples include: iPad, Windows Surface, Kindle, etc)",Laptop Computer,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,All of my classes are with the same students.,Yes,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neither Agree or Disagree,Advanced ( I use coding enough to know I am not a programmer),2
3083392665,2/20/14 19:07,2/20/14 19:20,37,36-40,White,M,USN,LCDR,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,,,,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Strongly Agree,Somewhat Agree,Strongly Agree,Large Lecture Hall,Small Lecture Hall with Stadium Seating,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Very Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Very Little,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Not At All,Very Well,Very Little,The ability to record classroom lectures,,,,,,,,,Printed materials,,,,,,,,,,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,N/A,N/A,1,2,3,4,5,2,1,Frequently,Yes,,,,Email,,,,,,Drop Box,,,,,SAKAI,,Turnitin,,,,,,A physical paper copy,Yes,,,,Often,,,,N/A (I do not use the wireless network on NPS),,,,,,,,,,,Some of my classes are with the same students.,No,Neither Agree or Disagree,Somewhat Disagree,Neither Agree or Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,I prefer not to use computers,4
3083391410,2/20/14 19:09,2/20/14 19:40,38,36-40,Black/African American,F,USN,LT,United States of America,847,Manpower Systems Analysis,Graduate School of Business and Public Policy,NPS,Master,Yes,No,Lack of rooms and spaces to collaborate,Posted schedules on classrooms not accurate,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Innovative Customizable Classroom,Traditional Style Classroom,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,Very Little,Very Well,Very Well,Somewhat Well,Very Little,Very Little,Somewhat Well,Very Well,Very Well,Very Well,Very Well,Somewhat Well,Somewhat Well,The ability to record classroom lectures,,The ability to project individual student laptops or other mobile device to screens throughout the classroom,,,Chalkboard/Whiteboard,Electronic Whiteboard (smart-board),Electronic typed or handwritten real-time notes (such as written on a tablet and projected to the front of classroom),,,,,Lecture accompanied by printed notes,,,,"In-class professor-led practical exercises (programming labs, physical labs, etc.)",Previously recorded lectures prepared by professor,Peer mentoring (stronger students help teach weaker students),Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree or Disagree,Strongly Agree,Strongly Agree,Strongly Agree,3,4,1,2,2,3,4,5,1,Frequently,N/A,,,,Email,SAKAI,,,,,,,,A physical paper copy,Email,,,,,,,,,A physical paper copy,No,,,Every professor has a different SAKAI layout and it's confusing,Often,,,,Yes,Glasgow Hall,"Smartphone (examples include: iPhone, Android device)",,,Laptop Computer,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,All of my classes are with the same students.,Yes,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Intermediate ( I am proficient in the technologies I own),10+
3083383466,2/20/14 19:07,2/20/14 19:09,29,20-30,White,M,USN,LT,United States of America,570,Naval/Mechanical Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Small Lecture Hall with Stadium Seating,Small Lecture Hall with Stadium Seating,Technology-Enhanced Active Learning (TEAL) Classroom with Circular Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
