,X,X.1,RespondentID,StartDate,EndDate,Age,Ethnic,Sex,MilitaryServiceName,MilitaryRankShortName,CountryName,CurricNumber,CurricShortName,SchoolName,Site,DegreeLevel,Q1,Q2,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q4i,Q4j,Q4k,Q4l,Q4m,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q11a,Q11b,Q11c,Q11d,Q11e,Q11f,Q11g,Q11h,Q11i,Q12a,Q12b,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14a,Q14b,Q14c,Q14d,Q15a,Q15b,Q15c,Q15d,Q15e,Q16,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q19j,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q20g,Q20h,Q20i,Q20j,Q21,Q22a,Q22b,Q22c,Q23,Q24a,Q24b,Q24c,Q25,Q26,Q27a,Q27b,Q27c,Q27d,Q28a,Q28b,Q28c,Q28d,Q28e,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q32,Q33,Q34,Q35,Q36,Q37,Q38,AgeGroup
11,11,11,3085265046,2/21/14 16:54,2/21/14 17:08,24,White,M,USN,ENS,United States of America,570,Naval/Mechanical Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,1,0,0,LL,SL,ICR,Somewhat Well,Very Well,Very Well,Somewhat Well,NA,Very Little,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Well,NA,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,1,1,1,1,2,1,1,-1,First,Fourth,Second,Third,First,Fourth,Second,Fifth,Third,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,No,NA,Selcet,Selcet,Not Select,Not Select,0,1,1,1,1,Most,No,0,1,-1,0,0,1,1,0,0,Advanced,2,20-30
12,12,12,3085243991,2/21/14 16:46,2/21/14 17:02,36,White,M,USAF,Maj.,United States of America,682,"Far East, Southeast Asia, Pacific",School of International Graduate Studies,NPS,Master,Yes,No,Select,Select,Not Select,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,1,1,0,SL,TR,ICR,Somewhat Well,Somewhat Well,NA,NA,NA,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Well,Somewhat Well,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,1,0,0,2,1,1,1,2,Fourth,First,Third,Second,First,Fourth,Third,Second,Fifth,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,Tunitin,NA,NA,NA,NA,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,No,Selcet,Selcet,Not Select,Often,Selcet,Selcet,Not Select,No,NA,Selcet,Selcet,Not Select,Selcet,0,2,1,1,1,Most,No,0,-2,0,1,-1,0,0,1,1,Intermediate,2,36-40
13,13,13,3085230133,2/21/14 16:39,2/21/14 21:04,39,White,M,USN,LCDR,United States of America,837,Financial Management,Graduate School of Business and Public Policy,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,-1,-1,1,SL,T,TR,Very Little,Very Well,Somewhat Well,Somewhat Well,NA,Very Little,Somewhat Well,Very Well,Very Well,Somewhat Well,Not At All,Very Little,Somewhat Well,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,1,1,1,-1,NA,0,1,1,Fourth,Third,Second,First,Third,Fourth,Fifth,Second,First,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Sometimes,Selcet,Selcet,Selcet,No,NA,Not Select,Selcet,Selcet,Not Select,2,2,2,2,2,Some,No,-1,1,0,1,0,-1,0,-1,0,Intermediate,3,36-40
14,14,14,3085173833,2/21/14 16:17,2/21/14 16:30,34,Asian American/Pacific Islander,M,USN,LT,United States of America,360,Operations Analysis,Graduate School of Operational and Information Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,1,1,0,LL,SL,ICR,Very Well,Very Well,Very Well,Very Well,NA,Very Little,Very Well,Very Well,Somewhat Well,Very Little,Very Little,Very Well,Very Little,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,1,2,2,2,2,2,2,2,Fourth,Third,Second,First,Third,Fifth,Fourth,Second,First,SE,NA,Selcet,Selcet,Selcet,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,Yes,MEL,Not Select,Selcet,Selcet,Selcet,2,2,2,1,1,All,Yes,0,-1,0,-1,-1,-1,1,1,0,Intermediate,5,31-35
15,15,15,3085125954,2/21/14 15:56,2/21/14 17:11,28,White,M,USMC,Capt,United States of America,595,Information Warfare,Graduate School of Operational and Information Sciences,NPS,Master,Yes,No,Select,Select,Not Select,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,1,1,2,LL,ICR,TR,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Not Select,Selcet,1,1,2,2,0,2,1,2,Fourth,Third,Second,First,Fourth,Third,Second,Fifth,First,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Often,Selcet,Not Select,Selcet,Yes,NA,Not Select,Selcet,Selcet,Not Select,1,1,1,0,0,Most,Yes,1,-1,1,-1,-2,-1,1,-1,1,Intermediate,7,20-30
16,16,16,3085119954,2/21/14 15:53,2/21/14 16:05,33,White,M,USN,LT,United States of America,326,Cyber Systems and Operations,Graduate School of Operational and Information Sciences,NPS,Master,No,No,Select,Not Select,Not Select,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,1,-1,LL,T,ICR,Somewhat Well,Somewhat Well,Very Little,Very Little,NA,Very Little,Very Well,Very Little,Somewhat Well,Very Well,Very Little,Very Well,Not At All,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,-2,2,-2,0,-2,1,Fourth,First,Second,Third,Fifth,Second,First,Fourth,Third,F,No,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,Yes,GH,Not Select,Selcet,Selcet,Selcet,1,-1,0,-1,1,Most,No,1,0,0,0,-2,-2,-1,-2,1,Intermediate,2,31-35
17,17,17,3085049101,2/21/14 15:23,2/21/14 15:37,114,White,M,NA,NA,United States of America,692,Homeland Defense and Security,School of International Graduate Studies,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,2,2,SL,ICR,TR,Somewhat Well,Somewhat Well,Very Well,Somewhat Well,Very Little,Somewhat Well,Somewhat Well,Very Little,Somewhat Well,Very Well,Very Little,Very Well,Very Little,Not Select,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,1,1,1,1,1,1,2,2,Second,First,Fourth,Third,First,Second,Third,Fourth,Fifth,F,NA,Selcet,Selcet,Selcet,Email,NA,NA,NA,Wiki Page,NA,NA,Google Drive,NA,NA,Email,NA,NA,NA,NA,NA,Drop Box,Google Drive,NA,NA,NA,Selcet,Selcet,Selcet,Often,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Not Select,Not Select,2,2,2,2,2,All,Yes,-2,1,-2,0,1,2,1,0,-1,Intermediate,6,Unknown
18,18,18,3084984502,2/21/14 14:54,2/21/14 15:11,27,White,M,USN,LT,United States of America,533,Combat Systems Science & Engineering,Graduate School of Engineering and Applied Sciences,NPS,Master,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,2,0,1,LL,T,TR,Somewhat Well,Very Well,Somewhat Well,Somewhat Well,NA,Very Little,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Little,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,2,2,-1,-1,0,0,2,2,NA,Third,Second,First,First,Fifth,Fourth,Third,Second,SE,NA,Selcet,Selcet,Selcet,Email,NA,NA,NA,NA,NA,NA,NA,NA,Paper Copy,Email,NA,NA,NA,NA,NA,NA,NA,NA,Paper copy,Yes,Selcet,Selcet,Selcet,Never,Selcet,Selcet,Selcet,Yes,NA,Selcet,Selcet,Selcet,Selcet,1,1,2,0,1,Most,Yes,0,2,-2,-1,-1,1,1,0,1,Basic,2,20-30
19,19,19,3084700479,2/21/14 11:58,2/21/14 12:17,59,White,M,NA,NA,United States of America,581,Systems Engineering (PhD),Graduate School of Engineering and Applied Sciences,NPS,PhD,Yes,Yes,Not Select,Not Select,Not Select,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,1,0,1,SL,ICR,ICR,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,Not Select,Selcet,Not Select,Not Select,Selcet,1,1,1,2,2,2,0,2,Fourth,Third,Second,First,First,Fourth,Second,Third,Fifth,F,Yes,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,Drop Box,NA,NA,NA,NA,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Rarely,Selcet,Not Select,Selcet,No,NA,Selcet,Selcet,Selcet,Not Select,1,1,1,1,1,Seldom,No,0,-1,0,0,1,1,1,-1,-2,Advanced,4,41+
20,20,20,3084416935,2/21/14 6:15,2/21/14 6:35,42,Unknown,M,Army,LTC,Germany,699,Special Operations,Graduate School of Operational and Information Sciences,NPS,Master,No,Yes,Not Select,Not Select,Not Select,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1,0,LL,T,TR,Somewhat Well,Very Well,Somewhat Well,Very Well,Not At All,Somewhat Well,Somewhat Well,Somewhat Well,Very Well,Very Little,Very Little,Very Well,Very Little,Selcet,Selcet,Not Select,Selcet,Not Select,Not Select,Selcet,Not Select,Selcet,Not Select,Not Select,Not Select,Not Select,Not Select,Selcet,Selcet,Not Select,Selcet,Selcet,2,2,-1,-1,1,2,2,2,Third,Fourth,Second,First,Third,Fourth,Fifth,First,Second,SE,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Selcet,Selcet,Selcet,Often,Selcet,Not Select,Selcet,No,NA,Not Select,Selcet,Not Select,Selcet,2,2,2,2,2,Some,No,-1,-1,-1,2,-2,-2,-1,-1,-1,Basic,3,41+
21,21,21,3084399674,2/21/14 5:50,2/21/14 6:05,30,White,M,USN,LT,United States of America,683,Western Hemisphere,School of International Graduate Studies,NPS,Master,No,No,Select,Not Select,Not Select,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,0,0,1,SL,T,ICR,Somewhat Well,Very Little,Somewhat Well,Very Well,Very Little,Very Well,Very Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Selcet,Not Select,Not Select,Selcet,Not Select,Selcet,Not Select,Not Select,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Selcet,Not Select,Selcet,0,-1,2,0,1,2,2,2,Second,First,Third,Fourth,First,Second,Third,Fourth,Fifth,F,NA,Selcet,Selcet,Selcet,Email,SAKAI,NA,NA,NA,Prof Web Site,Drop Box,Google Drive,NA,Paper Copy,Email,SAKAI,NA,NA,NA,NA,NA,NA,NA,NA,No,Selcet,Selcet,Not Select,Often,Selcet,Selcet,Not Select,No,NA,Not Select,Selcet,Selcet,Not Select,-2,1,1,1,1,Most,Yes,0,1,0,0,-2,2,2,1,-1,Intermediate,4,20-30
